Angle Threshold,Saccade Threshold,Model,Mean,Std
1.5,0.5,rfc20,0.6197333333333332,0.0937166888967903
1.5,0.5,rfc100,0.6230666666666668,0.0822093263160168
1.5,0.5,lr,0.6001666666666666,0.07935766433614896
1.5,0.5,svclinear,0.6786666666666668,0.09108725975068571
1.5,0.5,svcrbf,0.7556999999999999,0.05600455338630959
1.5,0.5,svcrbf_c10,0.7556999999999999,0.05600455338630959
1.5,0.5,svcpoly,0.7556999999999999,0.05600455338630959
1.5,1.0,rfc20,0.6210333333333332,0.092388906260438
1.5,1.0,rfc100,0.6400666666666666,0.07115082571551787
1.5,1.0,lr,0.6132333333333334,0.08548613272858288
1.5,1.0,svclinear,0.6522333333333334,0.08547781388563157
1.5,1.0,svcrbf,0.7673666666666668,0.044878341720205696
1.5,1.0,svcrbf_c10,0.7584000000000001,0.05254094699480692
1.5,1.0,svcpoly,0.6868333333333334,0.04461533119654923
1.5,1.5,rfc20,0.5858666666666666,0.09002236759087524
1.5,1.5,rfc100,0.6087666666666667,0.0796975602582106
1.5,1.5,lr,0.6685,0.09360243942690098
1.5,1.5,svclinear,0.6957666666666666,0.09183542647342341
1.5,1.5,svcrbf,0.7578333333333335,0.053093994219894795
1.5,1.5,svcrbf_c10,0.7517666666666668,0.05927235630732274
1.5,1.5,svcpoly,0.7515000000000002,0.060564703692277184
1.5,3.0,rfc20,0.5467,0.09992941397695564
1.5,3.0,rfc100,0.5718666666666667,0.10511297625782354
1.5,3.0,lr,0.5471666666666666,0.07846071203687444
1.5,3.0,svclinear,0.4570666666666666,0.08248808668192299
1.5,3.0,svcrbf,0.5356,0.08945499178668317
1.5,3.0,svcrbf_c10,0.5404666666666667,0.0845287853666167
1.5,3.0,svcpoly,0.5574,0.07462882969886518
1.5,5.0,rfc20,0.4661,0.09477699556795882
1.5,5.0,rfc100,0.4664666666666667,0.08164260870131206
1.5,5.0,lr,0.30466666666666664,0.08265053606063974
1.5,5.0,svclinear,0.22370000000000004,0.07008549540858412
1.5,5.0,svcrbf,0.33536666666666676,0.03985778886658582
1.5,5.0,svcrbf_c10,0.3502,0.08423488324652414
1.5,5.0,svcpoly,0.3418,0.06768131204401995
